Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J16,3.3V_Output,PinHeader_1x02_P2.54mm_Vertical,121.0,-52.77,180.0,top
J2,UJ20-C-H-G-MSMT-2B-P16-TR,UJ20CHGMSMT2BP16TR,144.425,-96.0125,0.0,top
J6,Exposed_UART,PinHeader_1x06_P2.54mm_Vertical,152.5,-47.73,0.0,top
Load_In/B1_Out,L_I/B1_Out,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,164.5,-71.75,-90.0,top
MPPT_Out/B1_In,M_OUT/B1_In,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,164.5,-81.25,-90.0,top
R1,5.1Ω,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,148.5,-83.9125,90.0,top
R10,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.5,-63.0875,90.0,top
R11,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.5,-59.4125,90.0,top
R12,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.0,-64.0,90.0,top
R13,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.0,-59.5875,90.0,top
R14,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.0,-68.4125,90.0,top
R15,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.0,-72.4125,90.0,top
R16,100kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.5,-89.9125,90.0,top
R17,20kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.0,-89.9125,-90.0,top
R18,100kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.5,-80.4125,90.0,top
R19,20kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.0,-80.4125,-90.0,top
R2,5.1Ω,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.5,-83.9125,90.0,top
R3,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.0,-79.4125,-90.0,top
R4,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.5,-79.4125,-90.0,top
R5,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.0,-55.0875,90.0,top
R6,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.0,-55.0875,90.0,top
R7,10kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.5875,-59.0,180.0,top
R8,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.5,-70.9125,90.0,top
R9,1kΩ,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.5,-66.9125,90.0,top
SCLK,TestPoint,TestPoint_Pad_D1.0mm,142.525,-54.925,90.0,top
SDI,TestPoint,TestPoint_Pad_D1.0mm,145.575,-54.925,90.0,top
SDO,TestPoint,TestPoint_Pad_D1.0mm,148.625,-54.925,90.0,top
SW1,BOOT_Btn,TS0266100BK100LCRD,155.25,-81.75,0.0,top
SW2,EN_Btn,TS0266100BK100LCRD,136.75,-81.75,0.0,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,135.5,-72.45,90.0,top
TP2,TestPoint,TestPoint_Pad_D1.0mm,135.5,-75.5,90.0,top
TP3,TestPoint,TestPoint_Pad_D1.0mm,152.0,-72.0,-90.0,top
TP8,TestPoint,TestPoint_Pad_D1.0mm,152.0,-76.5,-90.0,top
U3,ADS8688,SOP50P640X120-38N,144.5,-63.5,0.0,top
